ts,rhoavgc,rhoavgo,rhomaxc,rhomaxo
0.01,984.6172523085683,984.6182302874621,1000.1829373748121,1000.2166670551015
0.02,984.7345071148216,984.8357883324641,1001.097723067234,1001.0828878655972
0.03,984.5478525355447,985.2066321589197,1001.5844171243755,1001.4984486404088
0.04,984.4960016249389,985.2724085123459,1001.3146603777354,1001.9809007931799
0.05,984.1442494394877,984.9705012928848,1001.8176220340781,1002.9117072535379
0.06,983.9479144132549,984.755632980116,1002.7492611136911,1003.7333780470815
0.07,983.828280973481,984.6479486935317,1002.4749419825484,1003.234527873806
0.08,983.8446368680294,984.6633360405074,1002.1632156702783,1003.2011050446191
0.09,983.9634677689692,984.8137442527161,1002.3294926192614,1003.5318025724196
0.1,984.0792941387492,984.8875268008296,1002.1360030869764,1002.5043117986512
0.11,984.2724932519557,984.9856106119129,1003.9827824812994,1004.5705052553299
0.12,984.5955709696678,985.1749630829784,1002.9508577420163,1003.4678967558427
0.13,985.0278599272671,985.5220650881113,1003.712670866703,1005.0269567951757
0.14,985.4472524758047,985.817821147646,1004.86292849276,1006.2262625270882
0.15,985.8609729394649,986.0492516728362,1003.4493110441862,1005.2784552098246
0.16,986.1969840434195,986.2588464117822,1003.3670401459622,1005.4331468065641
0.17,986.2725492982597,986.4436766974318,1005.8706976733279,1006.5560135409221
0.18,986.3056810846776,986.4149124846668,1004.5767234046946,1004.8107067180506
0.19,986.4126369051974,986.3998647585992,1007.3983598671725,1007.7858373750653
0.2,986.494858741158,986.4354576890573,1005.8715078412381,1005.4569337802125
0.21,986.5655901967897,986.3443181957234,1006.3012572819052,1005.1052625697921
0.22,986.7053946060608,986.2590519468803,1005.3377935188688,1004.5715179153303
0.23,986.785025081842,986.2675933514225,1006.4964134913673,1004.545669971352
0.24,986.9323132769256,986.3763509926331,1008.1165634692715,1008.1152520149581
0.25,987.2304802269169,986.5992018320126,1014.2850374369955,1009.1239453119456
0.26,987.5130061433132,986.9000038637157,1011.4955646423009,1009.8871985295805
0.27,987.7622124534804,987.3027046006957,1009.9930154519309,1007.1174216085413
0.28,987.9154463435427,987.7976475989288,1008.2874700444438,1006.1269368511162
0.29,988.0472324800138,988.1478921758217,1005.1654464153065,1006.658085038787
0.3,988.1819209693783,988.3641170296047,1006.1551178980303,1007.7005899908943
0.31,988.2609935501906,988.4245284205084,1006.273302772955,1009.2323744137325
0.32,988.5195417265535,988.4561273852743,1010.7356735386767,1015.4698977513773
0.33,988.7652491427048,988.440237387481,1009.5946653901512,1016.189621173171
0.34,988.8826862618439,988.1535727391021,1018.3520319935749,1010.8231752951132
0.35000000000000003,988.9234997685371,987.9526481772726,1013.0278579544868,1015.9093907920302
0.36,988.9796629561106,987.73819560065,1012.1241640317016,1011.9026387821648
0.37,988.9411024063743,987.7786608176431,1010.7911208326187,1011.682535548114
0.38,988.6831971363131,987.6699829574831,1009.5683754740597,1014.1181653554947
0.39,988.4752077887456,987.468844063533,1012.2090893354406,1013.1850082564692
0.4,988.2887058187555,987.3056043465873,1013.6235606217456,1015.5272177256014
0.41000000000000003,988.3984826452962,987.2645415000426,1009.1588800549112,1012.27279743459
0.42,988.6504172981435,987.3401058398091,1014.724998328569,1018.5544366387066
0.43,988.6073603819044,987.203393554909,1012.6132172255394,1013.7895046041724
