ts,pmaxo,pmaxc
0.28800000000000003,268395.64407794276,197912.03840995752,
0.29,279798.8127691354,155758.76360504958,
0.292,199363.96660979366,116829.8812543823,
0.294,125410.75177361771,97693.34859253227,
0.296,94618.90856384848,88367.17402631657,
0.298,81403.6602878755,88461.52697847206,
0.3,77583.11077215346,91863.59583499005,
0.302,78829.56339232075,90434.89925433279,
0.304,103379.68927606835,94480.43450285359,
0.306,96871.32952012123,94625.07665901574,
0.308,114165.16680800803,97139.72601801768,
0.31,127975.38162560764,105094.06736114594,
0.312,127477.20004624696,120898.89808895875,
0.314,115226.60326605187,128624.06435817745,
0.316,103007.69045321672,149746.32278484871,
0.318,94983.22498735251,166183.54953842302,
0.32,93073.99376731082,190941.94629953298,
0.322,97043.64110965139,203910.34094810789,
0.324,107210.16939247047,176377.4217144263,
0.326,122626.98729186518,125191.43061539944,
0.328,136869.2472337173,93281.46599839957,
0.33,136398.12141951028,74576.76131246309,
0.332,116357.82003884498,70957.59064195372,
0.334,92745.19522517367,73655.17330349256,
0.336,78358.03876148163,88475.6010703043,
0.338,73704.09693383666,110951.3708944466,
0.34,78174.7643796811,148672.22248471066,
0.342,92309.81839930544,200424.63899086253,
0.34400000000000003,120958.84188172642,219088.8136620566,
0.34600000000000003,172744.92236391266,187743.61283244367,
0.34800000000000003,243286.89646676971,152405.53600103993,
0.35000000000000003,271741.82654754486,143202.8055524544,
0.352,222188.04388697134,126575.29440170273,
0.354,176086.9357845752,132864.82630644532,
0.356,157445.05239768536,152106.89435247818,
0.358,158939.7830755765,181540.2803038211,
0.36,180726.29325864237,186224.38631955066,
0.362,223893.65818193063,144615.7048787797,
0.364,275330.86012864,95157.7338834453,
0.366,247473.76440486807,69830.79827545394,
0.368,152548.36537666293,62780.464897027865,
0.37,104927.40774878323,75465.44481360231,
0.372,91139.81388287648,39951.50899699021,
0.374,90700.7177142576,80987.93553346513,
0.376,88837.1143693746,74238.15052352137,
0.378,102279.49173733874,82937.84350546171,
0.38,129562.89432259672,97379.24482062082,
0.382,155248.2955370747,104614.12257315821,
0.384,145721.29889720955,91878.80199654664,
0.386,106281.73229498786,69057.24728727473,
0.388,76152.68622699083,47252.43180781795,
0.39,60339.62204987113,36970.64570412645,
0.392,52902.94783019551,30850.883673571876,
0.394,50742.311403726635,27216.99963246818,
0.396,52694.35719041647,24737.79023974363,
0.398,56631.426209706784,34718.89161110906,
0.4,64293.818656088035,25862.193047542965,
0.402,77422.05416854148,23147.249403030048,
0.404,99288.12920027245,29162.967215257166,
0.406,129251.65660295336,38875.3497487572,
0.40800000000000003,147108.91729474728,71268.4340386086,
0.41000000000000003,125340.4211816025,79794.00151596009,
0.41200000000000003,88050.47751391765,134696.62124088567,
0.41400000000000003,65269.01976442835,216569.85444122305,
0.41600000000000004,65077.32542933763,247899.65422707677,
0.418,68620.50278309369,160043.38082583575,
0.42,63409.53432185285,95498.97356865353,
0.422,63807.83486771875,91885.03786313153,
0.424,137770.2525046729,156108.944156423,
0.426,85356.83870135742,106283.07242956525,
0.428,111429.07121724398,120991.80587351002,
0.43,134928.93800842378,254290.03647434077,
0.432,132666.31904215852,262326.68040794745,
0.434,104142.99022013479,322313.5178984716,
0.436,76499.48883728373,278258.01374080026,
0.438,59710.33354196098,192113.3031010047,
0.44,50068.44109534893,145115.21949755008,
0.442,44798.383500982425,110499.3675434294,
0.444,42480.07096096484,102163.37132829678,
0.446,42333.64069621946,99268.52485685081,
0.448,44275.505338271716,113792.79022014809,
0.45,48251.85727083965,121106.60460274965,
0.452,76282.66336254714,129250.2527221001,
0.454,64725.17405272303,146604.87466543517,
0.456,79908.62413519794,166865.75497762815,
0.458,99600.70517491692,173283.8374904359,
0.46,117045.23992353541,144794.91764224548,
0.462,123794.14642212115,106895.86804521178,
0.464,114746.12858000003,87149.25705548638,
0.466,102768.96491105345,93557.4428681303,
0.468,102247.57626370667,86183.19921914332,
0.47000000000000003,114116.65338554863,80653.83163504003,
0.47200000000000003,140441.86819391183,67788.29721834355,
0.47400000000000003,182349.2006588778,75908.5422973287,
0.47600000000000003,230035.97562967314,112752.56490184262,
0.47800000000000004,219497.14757689982,119060.01415862929,
0.48,155778.70182094528,88144.00043300352,
0.482,118550.82236355759,128838.16342695683,
0.484,109226.15171735559,199103.76376900298,
0.486,118586.09440754318,159357.43710311517,
0.488,147957.4818764276,142396.44200510465,
0.49,203279.43827942153,129904.87438903993,
0.492,299808.2797907287,118284.91189198782,
0.494,378338.0611444387,114480.59934823825,
0.496,280540.7308642178,130837.0740946315,
0.498,164013.96636055433,163260.57585507867,
0.5,132534.83290135732,204982.2544385446,
0.502,132458.83384905563,236974.08039391213,
0.504,149564.6723995056,233848.5945772067,
0.506,206247.7745494671,210482.94363807884,
0.508,299420.6320851707,190901.30104703846,
0.51,337159.793484777,184208.0619673385,
0.512,256711.71166260669,167999.9419393177,
0.514,180139.36782660746,141361.48729948318,
0.516,144382.8175297618,104170.15562759605,
0.518,130652.35834434986,89496.9303294878,
0.52,129303.77864217418,65661.19569228374,
0.522,135113.2653518028,101824.70486871942,
0.524,140880.75754779787,68657.87544795297,
0.526,141869.70938321922,73970.06158898366,
